key_resp.keys,key_resp.rt,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,mouse.clicked_pos,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,training.ran,trial,answer,height,width,x1,y1,stim_color1,probe_color1,copy_color1,x2,y2,stim_color2,probe_color2,copy_color2,x3,y3,stim_color3,probe_color3,copy_color3,x4,y4,stim_color4,probe_color4,copy_color4,x5,y5,stim_color5,probe_color5,copy_color5,participant,session,date,expName,psychopyVersion,OS,frameRate,key_resp_2.keys,key_resp_2.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,completion_keys.keys,completion_keys.rt
c,19.74496,-0.094444433,-0.198148159,1,0,0,2.57039,probe3,"[-0.1,-0.2]",0,0,0,0,1,1,probe4,0.05,0.05,0.1,0.2,#0072b2,#0072b2,#0072b2,0.1,-0.1,#e69f00,#e69f00,#e69f00,-0.1,-0.2,#cc79a7,#cc79a7,#cc79a7,0.2,-0.1,#4A4A4A,#f0e442,#FFFFFF,0.2,0,#009e73,#009e73,#009e73,A1MTR8G1EF2DC7,001,2020-12-11_18h59.59.409,change-localization,2020.1.2,Win32,60,,,,,,,,,
,,-0.099074062,0.099999994,1,0,0,1.423315,probe4,"[-0.1,0.1]",0,1,1,1,1,2,probe1,0.05,0.05,0.2,0,#d55e00,#009e73,#FFFFFF,0.2,-0.1,#e69f00,#e69f00,#e69f00,0.1,0,#4A4A4A,#4A4A4A,#4A4A4A,-0.1,0.1,#56b4e9,#56b4e9,#56b4e9,-0.1,0,#cc79a7,#cc79a7,#cc79a7,A1MTR8G1EF2DC7,001,2020-12-11_18h59.59.409,change-localization,2020.1.2,Win32,60,,,,,,,,,
,,-0.185185175,-0.192592603,1,0,0,1.06947,probe1,"[-0.2,-0.2]",0,2,2,2,1,3,probe1,0.05,0.05,-0.2,-0.2,#f0e442,#009e73,#FFFFFF,0.2,-0.1,#d55e00,#d55e00,#d55e00,-0.2,0,#4A4A4A,#4A4A4A,#4A4A4A,-0.1,-0.1,#0072b2,#0072b2,#0072b2,0,-0.1,#56b4e9,#56b4e9,#56b4e9,A1MTR8G1EF2DC7,001,2020-12-11_18h59.59.409,change-localization,2020.1.2,Win32,60,,,,,,,,,
,,0.200925942,0.231481477,1,0,0,1.14559,probe1,"[0.2,0.2]",0,3,3,3,1,4,probe1,0.05,0.05,0.2,0.2,#d55e00,#56b4e9,#FFFFFF,-0.2,0.2,#f0e442,#f0e442,#f0e442,0.2,-0.2,#0072b2,#0072b2,#0072b2,-0.2,0,#cc79a7,#cc79a7,#cc79a7,-0.2,0.1,#4A4A4A,#4A4A4A,#4A4A4A,A1MTR8G1EF2DC7,001,2020-12-11_18h59.59.409,change-localization,2020.1.2,Win32,60,,,,,,,,,
,,1.32455E-08,0.093518512,1,0,0,0.791295,probe3,"[0,0.1]",0,4,4,4,1,5,probe3,0.05,0.05,-0.2,0.1,#56b4e9,#56b4e9,#56b4e9,0,0.2,#009e73,#009e73,#009e73,0,0.1,#0072b2,#cc79a7,#FFFFFF,-0.1,-0.1,#4A4A4A,#4A4A4A,#4A4A4A,0.2,0,#f0e442,#f0e442,#f0e442,A1MTR8G1EF2DC7,001,2020-12-11_18h59.59.409,change-localization,2020.1.2,Win32,60,,,,,,,,,
,,0.11481483,-0.016666674,1,0,0,0.83992,probe5,"[0.1,0]",0,5,5,5,1,6,probe5,0.05,0.05,-0.1,0.1,#f0e442,#f0e442,#f0e442,0,0.1,#009e73,#009e73,#009e73,-0.2,0,#4A4A4A,#4A4A4A,#4A4A4A,0,-0.2,#d55e00,#d55e00,#d55e00,0.1,0,#cc79a7,#0072b2,#FFFFFF,A1MTR8G1EF2DC7,001,2020-12-11_18h59.59.409,change-localization,2020.1.2,Win32,60,,,,,,,,,
,,0.093518533,0.200925921,1,0,0,0.84027,probe2,"[0.1,0.2]",0,6,6,6,1,7,probe2,0.05,0.05,-0.2,-0.2,#4A4A4A,#4A4A4A,#4A4A4A,0.1,0.2,#0072b2,#d55e00,#FFFFFF,-0.1,-0.2,#f0e442,#f0e442,#f0e442,-0.2,0.2,#009e73,#009e73,#009e73,0.2,0.2,#e69f00,#e69f00,#e69f00,A1MTR8G1EF2DC7,001,2020-12-11_18h59.59.409,change-localization,2020.1.2,Win32,60,,,,,,,,,
,,-0.087037025,0.100925892,1,0,0,1.090085,probe3,"[-0.1,0.1]",0,7,7,7,1,8,probe1,0.05,0.05,0.1,-0.2,#009e73,#f0e442,#FFFFFF,-0.1,0,#d55e00,#d55e00,#d55e00,-0.1,0.1,#4A4A4A,#4A4A4A,#4A4A4A,-0.2,0,#cc79a7,#cc79a7,#cc79a7,0.2,0,#e69f00,#e69f00,#e69f00,A1MTR8G1EF2DC7,001,2020-12-11_18h59.59.409,change-localization,2020.1.2,Win32,60,,,,,,,,,
,,0.097222237,-0.197222233,1,0,0,1.110955,probe1,"[0.1,-0.2]",0,8,8,8,1,9,probe1,0.05,0.05,0.1,-0.2,#0072b2,#e69f00,#FFFFFF,-0.1,0.2,#f0e442,#f0e442,#f0e442,-0.2,0.1,#d55e00,#d55e00,#d55e00,0.2,0.2,#cc79a7,#cc79a7,#cc79a7,0.1,0.1,#56b4e9,#56b4e9,#56b4e9,A1MTR8G1EF2DC7,001,2020-12-11_18h59.59.409,change-localization,2020.1.2,Win32,60,,,,,,,,,
,,-0.104629561,-0.107407416,1,0,0,0.96507,probe1,"[-0.1,-0.1]",0,9,9,9,1,10,probe1,0.05,0.05,-0.1,-0.1,#4A4A4A,#f0e442,#FFFFFF,0,0.2,#cc79a7,#cc79a7,#cc79a7,0.2,-0.2,#e69f00,#e69f00,#e69f00,0.1,-0.2,#009e73,#009e73,#009e73,0.1,0.1,#d55e00,#d55e00,#d55e00,A1MTR8G1EF2DC7,001,2020-12-11_18h59.59.409,change-localization,2020.1.2,Win32,60,,,,,,,,,
,,0.148148164,-0.046296304,1,0,0,6.298515,probe1,"[-0.2,0.2]",,,,,,1,probe2,0.05,0.05,-0.2,0.2,#009e73,#009e73,,-0.1,0.2,#f0e442,#e69f00,,-0.1,0,#0072b2,#0072b2,,0,-0.2,#cc79a7,#cc79a7,,0,0.2,#d55e00,#d55e00,,A1MTR8G1EF2DC7,001,2020-12-11_18h59.59.409,change-localization,2020.1.2,Win32,60,c,12.009665,0,0,0,0,1,,
,,-0.003703691,-0.109259268,1,0,0,0.860785,probe5,"[0,-0.1]",,,,,,2,probe5,0.05,0.05,0,0.1,#009e73,#009e73,,0.2,0.1,#4A4A4A,#4A4A4A,,-0.1,-0.1,#cc79a7,#cc79a7,,0.1,0.1,#d55e00,#d55e00,,0,-0.1,#56b4e9,#e69f00,,A1MTR8G1EF2DC7,001,2020-12-11_18h59.59.409,change-localization,2020.1.2,Win32,60,,,0,1,1,1,1,,
,,-0.096296284,0.105555521,1,0,0,1.014015,probe4,"[-0.1,0.1]",,,,,,3,probe4,0.05,0.05,0.1,-0.1,#56b4e9,#56b4e9,,0.2,0,#f0e442,#f0e442,,0.2,-0.1,#e69f00,#e69f00,,-0.1,0.1,#4A4A4A,#009e73,,-0.1,0.2,#d55e00,#d55e00,,A1MTR8G1EF2DC7,001,2020-12-11_18h59.59.409,change-localization,2020.1.2,Win32,60,,,0,2,2,2,1,,
,,-0.194444434,0.009259252,1,0,0,1.06942,probe5,"[-0.2,0]",,,,,,4,probe5,0.05,0.05,0.2,0,#56b4e9,#56b4e9,,-0.2,-0.2,#cc79a7,#cc79a7,,0,0.2,#4A4A4A,#4A4A4A,,0.2,-0.2,#e69f00,#e69f00,,-0.2,0,#f0e442,#009e73,,A1MTR8G1EF2DC7,001,2020-12-11_18h59.59.409,change-localization,2020.1.2,Win32,60,,,0,3,3,3,1,,
,,-0.113888821,-0.09444451,1,0,0,0.881685,probe3,"[-0.1,-0.1]",,,,,,5,probe3,0.05,0.05,-0.2,0.1,#4A4A4A,#4A4A4A,,0.2,0.2,#009e73,#009e73,,-0.1,-0.1,#0072b2,#f0e442,,0.2,0,#cc79a7,#cc79a7,,0.1,0.1,#e69f00,#e69f00,,A1MTR8G1EF2DC7,001,2020-12-11_18h59.59.409,change-localization,2020.1.2,Win32,60,,,0,4,4,4,1,,
,,-0.007407338,0.200925921,1,0,0,0.93726,probe4,"[0,0.2]",,,,,,6,probe4,0.05,0.05,-0.1,0.1,#d55e00,#d55e00,,-0.2,0.2,#0072b2,#0072b2,,0,-0.1,#e69f00,#e69f00,,0,0.2,#56b4e9,#4A4A4A,,-0.2,-0.2,#009e73,#009e73,,A1MTR8G1EF2DC7,001,2020-12-11_18h59.59.409,change-localization,2020.1.2,Win32,60,,,0,5,5,5,1,,
,,0.22870372,0.192592588,1,0,0,1.777595,probe4,"[0.2,0.2]",,,,,,7,probe4,0.05,0.05,0.2,-0.1,#56b4e9,#56b4e9,,-0.1,-0.1,#e69f00,#e69f00,,-0.2,0.2,#009e73,#009e73,,0.2,0.2,#cc79a7,#4A4A4A,,0.2,-0.2,#d55e00,#d55e00,,A1MTR8G1EF2DC7,001,2020-12-11_18h59.59.409,change-localization,2020.1.2,Win32,60,,,0,6,6,6,1,,
,,-0.193518508,0.201851847,1,0,0,0.92343,probe4,"[-0.2,0.2]",,,,,,8,probe4,0.05,0.05,-0.2,0.1,#e69f00,#e69f00,,0.1,0.2,#cc79a7,#cc79a7,,0.2,0.1,#4A4A4A,#4A4A4A,,-0.2,0.2,#56b4e9,#d55e00,,0.2,-0.1,#0072b2,#0072b2,,A1MTR8G1EF2DC7,001,2020-12-11_18h59.59.409,change-localization,2020.1.2,Win32,60,,,0,7,7,7,1,,
,,0.200000016,0.203703699,1,0,0,0.98609,probe5,"[0.2,0.2]",,,,,,9,probe5,0.05,0.05,-0.1,0,#4A4A4A,#4A4A4A,,0.1,0.1,#56b4e9,#56b4e9,,-0.2,0.1,#009e73,#009e73,,0.2,0.1,#cc79a7,#cc79a7,,0.2,0.2,#d55e00,#f0e442,,A1MTR8G1EF2DC7,001,2020-12-11_18h59.59.409,change-localization,2020.1.2,Win32,60,,,0,8,8,8,1,,
